Branch,Process,Unit,Equipment Model,Equipment,Operator,Engine On (h),Average RPM,Effective Average Speed (km/h),Average Consumption (l/h),Average Consumption (l/ha)
CAPINÓPOLIS - MG,GRADAGEM PESADA,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62229 - TRATOR JOHN DEERE 7230J,600953 - MAURILIA MARIA DOS SANTOS,299.1,1788.5,7.6,12.03,26.79
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,600278 - JOAO MATEUS FREITAS LIMA,293.5,1868.6,4.5,34.34,69.82
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62511 - COLHEDORA JOHN DEERE CH570,601222 - JOSE CELIO RAMOS DA SILVA,292.1,1824.4,4.3,30.24,99.12
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62218 - TRATOR JOHN DEERE 7230J,359654 - ROSIVALDO DA SILVA QUEIROZ,290.9,1702.9,4.6,10.60,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62519 - COLHEDORA JOHN DEERE CH570,359236 - FERNANDO GONCALVES DE SOUZA,288.7,1894.0,5.1,35.66,58.76
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62501 - COLHEDORA JOHN DEERE CH570,600934 - JOSE LUCIANO ROMEIRO DA SILVA,287.7,1889.0,4.8,34.22,72.71
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62501 - COLHEDORA JOHN DEERE CH570,600293 - CICERO MESSIAS DE OLIVEIRA,283.4,1880.6,4.6,33.81,77.56
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62512 - COLHEDORA JOHN DEERE CH570,600301 - ALEXANDRE ELIAS SANTOS SILVA,282.6,1747.5,4.7,29.30,63.33
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62513 - COLHEDORA JOHN DEERE CH570,601495 - FLAVIO DOS SANTOS SILVA,277.5,1892.5,4.8,36.13,88.11
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62510 - COLHEDORA JOHN DEERE CH570,600648 - LUCAS FELIX DA SILVA,276.3,1753.1,4.1,25.80,58.70
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62513 - COLHEDORA JOHN DEERE CH570,359698 - GETULIO DE JESUS SANTOS,274.6,1848.1,4.6,34.69,84.31
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62519 - COLHEDORA JOHN DEERE CH570,359665 - LEANDRO LUIS DA SILVA,273.2,1925.8,5.0,34.13,60.32
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62244 - TRATOR JOHN DEERE 7230J,600277 - PEDRO HENRIQUE RODRIGUES ZUMBA,272.4,1812.2,3.4,13.83,17.27
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62503 - COLHEDORA JOHN DEERE CH570,600278 - JOAO MATEUS FREITAS LIMA,270.6,1714.8,4.0,26.31,59.26
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,181 - COLHEITA DE MUDA,COLHEDORA JOHN DEERE CH570,62506 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,270.2,,,32.59,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62501 - COLHEDORA JOHN DEERE CH570,359612 - ROGERIO JOSE ALVES FILHO,268.8,1924.9,5.0,35.14,79.74
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62518 - COLHEDORA JOHN DEERE CH570,601007 - LUIS FERNANDO DA SILVA ANDRADE,266.8,1758.5,5.1,31.90,58.96
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62518 - COLHEDORA JOHN DEERE CH570,359689 - FERNANDO COSTA DE ARAUJO,265.7,1718.4,4.4,29.61,62.10
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62513 - COLHEDORA JOHN DEERE CH570,600609 - ELISEU ARAUJO DOS SANTOS,264.3,1882.3,4.5,35.61,86.82
